Index,Strike Price,Option Type,OI
NIFTY,26950.0,PE,675
NIFTY,27000.0,CE,3564150
NIFTY,27000.0,PE,16875
NIFTY,27050.0,CE,296550
NIFTY,27050.0,PE,1275
NIFTY,27100.0,CE,323025
NIFTY,27100.0,PE,2025
NIFTY,27150.0,CE,273750
NIFTY,27150.0,PE,825
NIFTY,27200.0,CE,338850
NIFTY,27200.0,PE,750
NIFTY,27250.0,CE,156225
NIFTY,27250.0,PE,825
NIFTY,27300.0,CE,479100
NIFTY,27300.0,PE,2400
NIFTY,27350.0,CE,391350
NIFTY,27350.0,PE,675
NIFTY,27400.0,CE,2713725
NIFTY,27400.0,PE,4575
BANKNIFTY,46000.0,CE,73640
BANKNIFTY,46000.0,PE,713650
BANKNIFTY,46500.0,CE,0
BANKNIFTY,46500.0,PE,23835
BANKNIFTY,47000.0,CE,8575
BANKNIFTY,47000.0,PE,28980
BANKNIFTY,47500.0,CE,35
BANKNIFTY,47500.0,PE,11865
BANKNIFTY,48000.0,CE,14770
BANKNIFTY,48000.0,PE,160965
BANKNIFTY,48500.0,CE,1575
BANKNIFTY,48500.0,PE,45535
BANKNIFTY,48600.0,CE,0
BANKNIFTY,48600.0,PE,3745
BANKNIFTY,48700.0,CE,0
BANKNIFTY,48700.0,PE,2345
BANKNIFTY,48800.0,CE,0
BANKNIFTY,48800.0,PE,2940
BANKNIFTY,48900.0,CE,0
BANKNIFTY,48900.0,PE,2135
BANKNIFTY,49000.0,CE,33355
BANKNIFTY,49000.0,PE,94955
BANKNIFTY,49100.0,CE,0
BANKNIFTY,49100.0,PE,3045
BANKNIFTY,49200.0,CE,0
BANKNIFTY,49200.0,PE,1960
BANKNIFTY,49300.0,CE,0
BANKNIFTY,49300.0,PE,910
BANKNIFTY,49400.0,CE,0
BANKNIFTY,49400.0,PE,1785
BANKNIFTY,49500.0,CE,6580
BANKNIFTY,49500.0,PE,46025
BANKNIFTY,49600.0,CE,0
BANKNIFTY,49600.0,PE,2415
BANKNIFTY,49700.0,CE,0
BANKNIFTY,49700.0,PE,1435
BANKNIFTY,49800.0,CE,0
BANKNIFTY,49800.0,PE,1435
BANKNIFTY,49900.0,CE,0
BANKNIFTY,49900.0,PE,1295
BANKNIFTY,50000.0,CE,116935
BANKNIFTY,50000.0,PE,259035
BANKNIFTY,50100.0,CE,0
BANKNIFTY,50100.0,PE,1890
BANKNIFTY,50200.0,CE,35
BANKNIFTY,50200.0,PE,3185
BANKNIFTY,50300.0,CE,35
BANKNIFTY,50300.0,PE,1120
BANKNIFTY,50400.0,CE,350
BANKNIFTY,50400.0,PE,38325
BANKNIFTY,50500.0,CE,8470
BANKNIFTY,50500.0,PE,58345
BANKNIFTY,50600.0,CE,70
BANKNIFTY,50600.0,PE,1820
BANKNIFTY,50700.0,CE,350
BANKNIFTY,50700.0,PE,4200
BANKNIFTY,50800.0,CE,315
BANKNIFTY,50800.0,PE,12390
BANKNIFTY,50900.0,CE,315
BANKNIFTY,50900.0,PE,10920
BANKNIFTY,51000.0,CE,70245
BANKNIFTY,51000.0,PE,256235
BANKNIFTY,51100.0,CE,210
BANKNIFTY,51100.0,PE,8295
BANKNIFTY,51200.0,CE,140
BANKNIFTY,51200.0,PE,7035
BANKNIFTY,51300.0,CE,140
BANKNIFTY,51300.0,PE,6825
BANKNIFTY,51400.0,CE,70
BANKNIFTY,51400.0,PE,5425
BANKNIFTY,51500.0,CE,10360
BANKNIFTY,51500.0,PE,105700
BANKNIFTY,51600.0,CE,105
BANKNIFTY,51600.0,PE,6265
BANKNIFTY,51700.0,CE,140
BANKNIFTY,51700.0,PE,9135
BANKNIFTY,51800.0,CE,280
BANKNIFTY,51800.0,PE,9240
BANKNIFTY,51900.0,CE,315
BANKNIFTY,51900.0,PE,6440
BANKNIFTY,52000.0,CE,122640
BANKNIFTY,52000.0,PE,482580
BANKNIFTY,52100.0,CE,315
BANKNIFTY,52100.0,PE,6685
BANKNIFTY,52200.0,CE,35
BANKNIFTY,52200.0,PE,12845
BANKNIFTY,52300.0,CE,105
BANKNIFTY,52300.0,PE,5740
BANKNIFTY,52400.0,CE,210
BANKNIFTY,52400.0,PE,6545
BANKNIFTY,52500.0,CE,10955
BANKNIFTY,52500.0,PE,268765
BANKNIFTY,52600.0,CE,35
BANKNIFTY,52600.0,PE,6580
BANKNIFTY,52700.0,CE,175
BANKNIFTY,52700.0,PE,16940
BANKNIFTY,52800.0,CE,105
BANKNIFTY,52800.0,PE,16520
BANKNIFTY,52900.0,CE,70
BANKNIFTY,52900.0,PE,16800
BANKNIFTY,53000.0,CE,95830
BANKNIFTY,53000.0,PE,823620
BANKNIFTY,53100.0,CE,875
BANKNIFTY,53100.0,PE,19355
BANKNIFTY,53200.0,CE,350
BANKNIFTY,53200.0,PE,42840
BANKNIFTY,53300.0,CE,105
BANKNIFTY,53300.0,PE,16870
BANKNIFTY,53400.0,CE,175
BANKNIFTY,53400.0,PE,12880
BANKNIFTY,53500.0,CE,48755
BANKNIFTY,53500.0,PE,250950
BANKNIFTY,53600.0,CE,385
BANKNIFTY,53600.0,PE,28525
BANKNIFTY,53700.0,CE,700
BANKNIFTY,53700.0,PE,17395
BANKNIFTY,53800.0,CE,350
BANKNIFTY,53800.0,PE,39515
BANKNIFTY,53900.0,CE,420
BANKNIFTY,53900.0,PE,27405
BANKNIFTY,54000.0,CE,107310
BANKNIFTY,54000.0,PE,603925
BANKNIFTY,54100.0,CE,245
BANKNIFTY,54100.0,PE,55650
BANKNIFTY,54200.0,CE,280
BANKNIFTY,54200.0,PE,37940
BANKNIFTY,54300.0,CE,210
BANKNIFTY,54300.0,PE,89285
BANKNIFTY,54400.0,CE,385
BANKNIFTY,54400.0,PE,50155
BANKNIFTY,54500.0,CE,23800
BANKNIFTY,54500.0,PE,408065
BANKNIFTY,54600.0,CE,1365
BANKNIFTY,54600.0,PE,34230
BANKNIFTY,54700.0,CE,490
BANKNIFTY,54700.0,PE,42875
BANKNIFTY,54800.0,CE,3675
BANKNIFTY,54800.0,PE,64785
BANKNIFTY,54900.0,CE,245
BANKNIFTY,54900.0,PE,34440
BANKNIFTY,55000.0,CE,131075
BANKNIFTY,55000.0,PE,845425
BANKNIFTY,55100.0,CE,770
BANKNIFTY,55100.0,PE,82145
BANKNIFTY,55200.0,CE,2135
BANKNIFTY,55200.0,PE,108745
BANKNIFTY,55300.0,CE,4515
BANKNIFTY,55300.0,PE,83825
BANKNIFTY,55400.0,CE,2660
BANKNIFTY,55400.0,PE,89740
BANKNIFTY,55500.0,CE,101710
BANKNIFTY,55500.0,PE,547225
BANKNIFTY,55600.0,CE,6790
BANKNIFTY,55600.0,PE,91105
BANKNIFTY,55700.0,CE,3675
BANKNIFTY,55700.0,PE,79310
BANKNIFTY,55800.0,CE,6825
BANKNIFTY,55800.0,PE,145845
BANKNIFTY,55900.0,CE,8505
BANKNIFTY,55900.0,PE,123935
BANKNIFTY,56000.0,CE,1364055
BANKNIFTY,56000.0,PE,2361835
BANKNIFTY,56100.0,CE,28700
BANKNIFTY,56100.0,PE,105840
BANKNIFTY,56200.0,CE,11445
BANKNIFTY,56200.0,PE,143605
BANKNIFTY,56300.0,CE,16590
BANKNIFTY,56300.0,PE,103215
BANKNIFTY,56400.0,CE,25060
BANKNIFTY,56400.0,PE,101430
BANKNIFTY,56500.0,CE,302645
BANKNIFTY,56500.0,PE,713895
BANKNIFTY,56600.0,CE,66535
BANKNIFTY,56600.0,PE,140910
BANKNIFTY,56700.0,CE,104930
BANKNIFTY,56700.0,PE,237580
BANKNIFTY,56800.0,CE,207305
BANKNIFTY,56800.0,PE,249305
BANKNIFTY,56900.0,CE,309470
BANKNIFTY,56900.0,PE,229425
BANKNIFTY,57000.0,CE,1602125
BANKNIFTY,57000.0,PE,1223390
BANKNIFTY,57100.0,CE,419580
BANKNIFTY,57100.0,PE,174300
BANKNIFTY,57200.0,CE,678405
BANKNIFTY,57200.0,PE,224315
BANKNIFTY,57300.0,CE,436450
BANKNIFTY,57300.0,PE,150850
BANKNIFTY,57400.0,CE,300510
BANKNIFTY,57400.0,PE,80150
BANKNIFTY,57500.0,CE,1173060
BANKNIFTY,57500.0,PE,383985
BANKNIFTY,57600.0,CE,158760
BANKNIFTY,57600.0,PE,46935
BANKNIFTY,57700.0,CE,217070
BANKNIFTY,57700.0,PE,41755
BANKNIFTY,57800.0,CE,177450
BANKNIFTY,57800.0,PE,29400
BANKNIFTY,57900.0,CE,107450
BANKNIFTY,57900.0,PE,46200
BANKNIFTY,58000.0,CE,1098650
BANKNIFTY,58000.0,PE,221480
BANKNIFTY,58100.0,CE,87185
BANKNIFTY,58100.0,PE,11480
BANKNIFTY,58200.0,CE,131670
BANKNIFTY,58200.0,PE,12600
BANKNIFTY,58300.0,CE,93660
BANKNIFTY,58300.0,PE,9415
BANKNIFTY,58400.0,CE,95480
BANKNIFTY,58400.0,PE,6685
BANKNIFTY,58500.0,CE,660555
BANKNIFTY,58500.0,PE,40425
BANKNIFTY,58600.0,CE,98420
BANKNIFTY,58600.0,PE,4375
BANKNIFTY,58700.0,CE,124635
BANKNIFTY,58700.0,PE,4375
BANKNIFTY,58800.0,CE,145320
BANKNIFTY,58800.0,PE,2835
BANKNIFTY,58900.0,CE,115850
BANKNIFTY,58900.0,PE,875
BANKNIFTY,59000.0,CE,966315
BANKNIFTY,59000.0,PE,52255
BANKNIFTY,59100.0,CE,67865
BANKNIFTY,59100.0,PE,105
BANKNIFTY,59200.0,CE,91385
BANKNIFTY,59200.0,PE,770
BANKNIFTY,59300.0,CE,62930
BANKNIFTY,59300.0,PE,280
BANKNIFTY,59400.0,CE,93870
BANKNIFTY,59400.0,PE,280
BANKNIFTY,59500.0,CE,861875
BANKNIFTY,59500.0,PE,5285
BANKNIFTY,59600.0,CE,73395
BANKNIFTY,59600.0,PE,140
BANKNIFTY,59700.0,CE,77700
BANKNIFTY,59700.0,PE,175
BANKNIFTY,59800.0,CE,89215
BANKNIFTY,59800.0,PE,350
BANKNIFTY,59900.0,CE,65590
BANKNIFTY,59900.0,PE,70
BANKNIFTY,60000.0,CE,1210335
BANKNIFTY,60000.0,PE,89530
BANKNIFTY,60100.0,CE,39235
BANKNIFTY,60100.0,PE,315
BANKNIFTY,60200.0,CE,36190
BANKNIFTY,60200.0,PE,175
